央视,#genre#
欢笑剧场4K,http://192.168.1.99:5050/udp/239.49.8.106:8000
书画频道,http://192.168.1.99:5050/udp/239.49.0.123:8000


江苏,#genre#

江苏城市,http://192.168.1.99:5050/udp/239.49.8.107:8000
江苏综艺,http://192.168.1.99:5050/udp/239.49.8.108:8000
江苏体育休闲,http://192.168.1.99:5050/udp/239.49.8.117:8000
江苏新闻,http://192.168.1.99:5050/udp/239.49.8.120:8000
江苏教育,http://192.168.1.99:5050/udp/239.49.8.122:8000

江苏城市,http://192.168.1.99:5050/udp/239.49.1.17:6000
江苏综艺,http://192.168.1.99:5050/udp/239.49.1.18:6000
江苏体育休闲,http://192.168.1.99:5050/udp/239.49.1.19:6000

江苏影视,http://192.168.1.99:5050/udp/239.49.1.20:6000
江苏影视,http://192.168.1.99:5050/udp/239.49.8.118:8000

江苏新闻,http://192.168.1.99:5050/udp/239.49.1.22:6000

江苏国际,http://192.168.1.99:5050/udp/239.49.0.22:8168
江苏国际,http://192.168.1.99:5050/udp/239.49.1.23:6000

江苏教育,http://192.168.1.99:5050/udp/239.49.1.25:6000
江苏财富天下,http://192.168.1.99:5050/udp/239.49.1.29:6000

优漫卡通,http://192.168.1.99:5050/udp/239.49.8.119:8000

苏州新闻综合,https://liveshowbak2.kan0512.com/norecord/tv_csztv1.m3u8
苏州社会经济,https://liveshowbak2.kan0512.com/norecord/tv_csztv2.m3u8
苏州文化生活,https://liveshowbak2.kan0512.com/norecord/tv_csztv3.m3u8
苏州电影娱乐,https://liveshowbak2.kan0512.com/norecord/tv_csztv4.m3u8
苏州生活咨询,https://liveshowbak2.kan0512.com/norecord/tv_csztv5.m3u8

沛县新闻综合,http://192.168.1.99:5050/udp/239.49.0.214:8000

盐城1,http://192.168.1.99:5050/udp/239.49.8.30:8000

优漫卡通,http://192.168.1.99:5050/udp/239.49.1.21:6000

苏州生活咨询,http://192.168.1.99:5050/udp/239.49.8.116:8000

南京影视,http://192.168.1.99:5050/udp/239.49.0.24:8000
南京新闻综合,http://192.168.1.99:5050/udp/239.49.0.25:8192
南京十八,http://192.168.1.99:5050/udp/239.49.0.26:8200
南京娱乐,http://192.168.1.99:5050/udp/239.49.0.38:8000
南京少儿,http://192.168.1.99:5050/udp/239.49.0.45:8000
南京信息,http://192.168.1.99:5050/udp/239.49.0.75:8000
南京科教,http://192.168.1.99:5050/udp/239.49.0.183:9434
南京生活,http://192.168.1.99:5050/udp/239.49.0.184:9438

徐州1,http://192.168.1.99:5050/udp/239.49.0.203:8000
徐州2,http://192.168.1.99:5050/udp/239.49.0.199:8000
徐州3,http://192.168.1.99:5050/udp/239.49.0.211:8000
徐州4,http://192.168.1.99:5050/udp/239.49.0.216:8000

泰州1,http://192.168.1.99:5050/udp/239.49.0.215:8000
泰州2,http://192.168.1.99:5050/udp/239.49.0.217:8000
泰州3,http://192.168.1.99:5050/udp/239.49.0.222:8000

赣榆新闻综合,http://192.168.1.99:5050/udp/239.49.0.241:8000
赣榆影视,http://192.168.1.99:5050/udp/239.49.0.242:8000

高淳新闻,http://192.168.1.99:5050/udp/239.49.0.74:8000

淮安公共,http://192.168.1.99:5050/udp/239.49.0.181:8000
淮安影视娱乐,http://192.168.1.99:5050/udp/239.49.0.192:8000
淮安综合,http://192.168.1.99:5050/udp/239.49.0.204:8000

淮阴综合,http://192.168.1.99:5050/udp/239.49.0.169:8000

贾汪新闻,http://192.168.1.99:5050/udp/239.49.0.248:8000

连云港公共频道,http://192.168.1.99:5050/udp/239.49.0.229:8000
连云港新闻综合,http://192.168.1.99:5050/udp/239.49.0.225:8000

南通新闻综合,http://192.168.1.99:5050/udp/239.49.0.223:8000
南通2,http://192.168.1.99:5050/udp/239.49.0.224:8000
南通公共崇川,http://192.168.1.99:5050/udp/239.49.0.197:8000

邳州综合,http://192.168.1.99:5050/udp/239.49.0.182:8000

泗洪综合,http://192.168.1.99:5050/udp/239.49.0.195:8000
泗阳综合,http://192.168.1.99:5050/udp/239.49.0.249:8000

宿迁公共,http://192.168.1.99:5050/udp/239.49.0.236:8000
宿迁综合,http://192.168.1.99:5050/udp/239.49.0.231:8000

睢宁综合,http://192.168.1.99:5050/udp/239.49.0.239:8000
睢宁综合,http://192.168.1.99:5050/udp/239.49.0.232:8000

泰兴综合,http://192.168.1.99:5050/udp/239.49.0.168:8000

铜山1,http://192.168.1.99:5050/udp/239.49.0.163:8000

新沂1,http://192.168.1.99:5050/udp/239.49.0.238:8000

兴化新闻综合,http://192.168.1.99:5050/udp/239.49.0.162:8000

盱眙综合,http://192.168.1.99:5050/udp/239.49.0.237:8000

溧阳新闻综合,http://tvlive.cxzly.com/live/tv.m3u8


湖南,#genre#
金鹰卡通,http://192.168.1.99:5050/udp/239.49.8.33:8000
金鹰纪实,http://192.168.1.99:5050/udp/239.49.8.79:8000
快乐垂钓,http://192.168.1.99:5050/udp/239.49.0.114:8000
先锋乒羽,http://192.168.1.99:5050/udp/239.49.0.145:8000
茶友频道,http://192.168.1.99:5050/udp/239.49.0.146:8000


河南,#genre#
梨园频道,http://192.168.1.99:5050/udp/239.49.8.193:8000
文物宝库,http://192.168.1.99:5050/udp/239.49.0.209:8000
武术世界.http://192.168.1.99:5050/udp/239.49.0.205:8000


山东,#genre#
山东卫视,http://livealone.iqilu.com/iqilu/sdtvhjOF03kn.m3u8
山东齐鲁,http://livealone.iqilu.com/iqilu/qlpdhjOF03kn.m3u8
山东文旅,http://livealone.iqilu.com/iqilu/yspdhjOF03kn.m3u8
山东综艺,http://livealone.iqilu.com/iqilu/zypdhjOF03kn.m3u8
山东生活,http://livealone.iqilu.com/iqilu/shpdhjOF03kn.m3u8
山东新闻,http://livealone.iqilu.com/iqilu/ggpdhjOF03kn.m3u8
山东农科,http://livealone.iqilu.com/iqilu/nkpdhjOF03kn.m3u8
山东体育,http://livealone.iqilu.com/iqilu/typdhjOF03kn.m3u8
山东少儿,http://livealone.iqilu.com/iqilu/sepdhjOF03kn.m3u8

菏泽1综合,http://192.168.1.99:5050/udp/239.49.0.89:8000


购物,#genre#
央广购物,http://192.168.1.99:5050/udp/239.49.0.39:8000
好享购物,http://192.168.1.99:5050/udp/239.49.0.103:8000
好享购物,http://192.168.1.99:5050/udp/239.49.8.121:8000
聚鲨环球精选,http://192.168.1.99:5050/udp/239.49.0.212:8000
聚鲨环球精选,http://192.168.1.99:5050/udp/239.49.8.123:8000
家有购物,http://192.168.1.99:5050/udp/239.49.8.124:8000


国际,#genre#
